title	publish_year	description
敏捷销售	2014	世界在过去十年经历的变化令人咋舌。互联网已成为生活和商业的中心，连接到互联网的移动设备日益强大、无处不在，让我们以前所未有的便捷接入互联网内容，并极大地改变...
敏捷产品——不确定性的思维革命	2016	想在移动互联网时代崭露头角，你需要读懂这一本！敏捷开发模式能够让使用者收获短的迭代周期、快的产品版本发布，也能让沟通障碍得到一定程度的缓解，从而纠正研发、测...
敏捷软件开发	2008	《敏捷软件开发:原则、模式与实践(C#版)(英文版)》旨在指导.NET程序员学习构建软件的最佳实践，从而创建更好的设计并提升.NET应用的质量。书中使用真实案例讲解如何用极...
CMMI+敏捷整合开发	2012	《CMMI+敏捷整合开发:更快改进性能的案例与实用技术》内容简介：当前，许多通过能力成熟度模型集成（cmmi）已经提高过程成熟度的企业还希望提高敏捷性。相应的，许多利...
敏捷项目管理	2006	Now, one of the field's leading experts brings together all tbe knowledge and resources yon need to use APM in your next project. Jim Highsmith shows why APM...
C#敏捷开发实践	2016	本书共分为敏捷基础、编写SOLID代码和自适应实例三大部分，将理论与实践相结合，介绍了当前使用Microsoft .NET Framework进行C#编程的最佳实践，详尽探讨了C#开发人员如...
敏捷分析	2014	《敏捷分析：价值驱动的商业智能和数据仓库系统开发》分为两部分，共10章，从架构到管理，从自动化测试到持续集成，通过丰富的工作实例，系统而深入地讲解敏捷DW/BI的基...
规范敏捷交付	2013	本书是敏捷软件开发领域的经典著作，由IBM首席敏捷方法专家、世界级敏捷软件开发大师撰写，系统深入地讲解了规范敏捷交付（DAD）的概念和原理，以及规范敏捷交付过程框...
平衡敏捷和纪律	2004	敏捷与纪律，这两个截然相反的属性，是软件开发中的互补因素。计划驱动的开发人员必须具有一定的敏捷性，而敏捷开发人员也必须具有一定的纪律性。成功的关键是找到两者...
敏捷主义 ：从技术、商业和个人视角看敏捷商业思维	-1	"敏捷和精益不只是商业流行词而已，它们是快捷、高效的方法论，你需要以此为指导，坚持不懈地变革自己的工作方法。
本书能启发和帮助你更迅速地工作、更聪明地思考，从个..."
Scrum敏捷开发高级教程	2013	《Scrum敏捷开发高级教程:使用Team Foundation Server 2010》不是一本简单的Scrum方法学的介绍书籍，也不是一本介绍TFS的工具书，而是一本融合了多方面知识的经验性书籍...
敏捷可执行需求说明：Scrum提炼及实现技术	2014	本书介绍了如何创建可执行的需求说明并使用这些规范来测试软件需求与行为。具体介绍了在Scrum框架下如何构建软件，如何将需求与架构相连，如何自动进行需求验证等内容，...
敏捷项目管理与PMI-ACP应试指南	2015	作为美国项目管理协会PMI-ACP、PMI-PBA、PgMP、PMP认证获得者，《敏捷项目管理与PMI-ACP应试指南》作者结合其多年敏捷项目管理实践经验及对PMI-ACP认证考试的透彻理解，...
Scrum敏捷游戏开发	2015	《Scrum敏捷游戏开发》凝聚作者数十年的经验，讲解了如何将Scrum敏捷方法应用于游戏开发中，介绍了如何增强团队的内部协作和外部联系。针对长远规划、进度跟踪与持续集...
ASP.NET 4.0 MVC敏捷开发给力起飞	2011	想知道网站是怎么从无到有的吗？想了解商用网站是怎么构建自己的模块吗？知或者不知，《ASP.NET 4.0 MVC敏捷开发给力起飞》就在这里，不增不减，循序渐进。你即将有机会...
学习敏捷	2017	本书以敏捷软件开发为中心，系统阐述了敏捷原则和实践的先进理念和重要意义，并分别讲解了Scrum、极限编程、精益和看板四套敏捷实践的应用。作者从开发团队的日常困境入...
敏捷项目管理	2012	《敏捷项目管理:企业级实践与案例》详细介绍了目前最流行的敏捷项目管理方法，包括Scrum、XP、Crystal和EVO，以及它们的实用技巧和应用方法，并且对如何在企业中使用提...
敏捷迭代开发:管理者指南	2013	《敏捷迭代开发（管理者指南）》是敏捷和迭代开发方法的权威指南。著名软件方法大师CraigLarman在书中不但说明什么是敏捷／迭代方法，其运作机制、实施策略以及原因，而...
敏捷项目管理决策	2012	《敏捷项目管理决策:平衡控制和敏捷性》作者曾在多个领域从事项目管理工作，在丰富实践经验基础上创作了《敏捷项目管理决策:平衡控制和敏捷性》。《敏捷项目管理决策:平...
敏捷文化	2015	"敏捷开发的兴起，迫切需要企业文化进行相应的变革和升级。本书重点描述如何利用信任与责任模型来重构敏捷文化，使企业恢复活力和创新，创造更多利润。
本书共10章5个附..."
敏捷项目管理	-1	当你进行软件开发时，你一定需要一种更快捷、更灵活的方式。《敏捷项目管理》将通过手把手的方式帮你充分发挥你手中的所有可利用工具和技术，以一种非常有效的方式管理...
敏捷开发知识体系	2013	"《敏捷开发知识体系》面向敏捷实践者学习敏捷知识和敏捷软件开发企业进行敏捷转型的需要，旨在帮助个人更快地掌握敏捷开发知识，帮助企业更好地实施敏捷转型。
中国敏捷..."
敏捷职业发展	2012	《敏捷职业发展:IBM的经验与方法》以实用的方式阐释IBM职业发展计划过程的重塑工程，其主旨是采用一种依托于企业级别通用职业框架的学习和发展方式来吸引、挽留及提高员...
敏捷创新	2016	"创新，你准备好了吗？
本书为你奉献一种革命性的方式，这种方式能帮助你实现共享、激发创新并加速成功。
想象这样一种商业文化——它以高效合作为常态，促使团队通过自..."
大数据时代的云计算敏捷红利	2013	
使大脑敏捷的速读法	1990	
敏捷制造的ERP及其决策优化	2003	敏捷制造是21世纪的制造技术。它的基于互联网“项目驱动”的生产运行模式和“动态联盟”的生产组织方式对企业资源计划——ERP提出了新的要求，并带来了一系列新的决策优...
敏捷虚拟企业	2003	《敏捷虚拟企业:21世纪领先企业的经营模式》在总结作者多年研究成果的基础上，介绍了敏捷制造出现的时代背景以及敏捷制造的内涵、特性要素和使能子系统，并重点对敏捷制...
敏捷软件开发方法与实践	2010	《敏捷软件开发方法与实践》第1章阐述了敏捷软件开发方法出现的历史背景、敏捷宣言、敏捷原则及最新动态；第2章介绍了常见的敏捷软件开发方法及其相互间的简单比较；在...
软件工程中的极限编程与敏捷过程/会议录 LNCS-4044	2006	
敏捷制造的理论.技术与实践	2000	《敏捷制造的理论.技术与实践》系统地介绍了敏捷制造的理论和为了实现敏捷制造企业所需要采用的各种技术。敏捷化竞争是具有鲜明时代特征的新的竞争形式，企业为了在敏捷...
互联网+技术融合风暴:构建平台协同战略与商业敏捷性	2015	《互联网+技术融合风暴:构建平台协同战略与商业敏捷性》编辑推荐：互联网商业模式将会成为提供客户体验的主流手段；商业竞争的基础不再是以产品为中心的金融资产，而是...
敏捷	2010	《敏捷:供应链总监的10个角色》内容简介：经济全球化，让每个企业面临着重新整合自身的核心竞争力的挑战，理解并构建供应链、把握住供应链运营的方向，就等于把握住了企...
犬敏捷运动基本教程	2010	《犬敏捷运动基本教程》的安排完全按自然的学习过程进展，涵盖了犬敏捷运动训练和比赛的各阶段、各方面。先在科学训犬的普遍原理之上按照敏捷运动的特点总结了四项原则...
勇敢敏捷的猫	2011	《你好!数学•最亲切的数学概念启蒙图画书18•量和比较:勇敢敏捷的猫》主要内容简介：“每天一卷，博览3000”是韩国儿童教育和出版机构正在进行的大型儿童阅读推广...
INCREASE YOUR BRAINPOWER 增加您的脑力-改进您的创造性记忆， 精神敏捷性	2001	Despite the enormous capacity of the human brain, we only utilise on average two per cent of our potential brainpower. There is therefore enormous potential ...
敏捷虚拟企业	2007	当今企业必须面对不断变化的环境。要适应变化的环境，重要的是从理念、结构、文化、资源配置及运行等方面打造企业——敏捷虚拟企业。本书在深入分析和讨论敏捷虚拟企业...
敏捷軟體開發	2005	
敏捷供需链管理	2001	本书系统、深入地介绍了敏捷供需链的理论、技术、系统与应用。在传统供应链思想的基础上，提出了敏捷供需链及其管理系统的概念；基于供需链中环节的共性(进行)研究，提...
敏捷物流	2004	《敏捷物流:供应链一体化的价值实现》在吸收企业物流管理、价值管理、战略管理、生产管理、营销管理、顾客服务的最新成果的基础上，从顾客价值和企业价值生成、成长以及...
敏捷制造	2004	本书主要研究以低成本和高效率快速响应市场变化的产品实现技术与制造模式。从制造设备层、制造系统层和社会制造资源层的可重构方法与技术入手，研究敏捷制造的基本理论...
最奇特最敏捷的恐龙	2010	《最奇特最敏捷的恐龙(注音版)》主要讲述了最奇特的恐龙三角龙、蛇颈龙、青岛龙、无齿翼龙，最敏捷的恐龙似鸡龙、阿垃善龙、栉龙、似柿龙。书中所涉及恐龙及其生活场景...
流程改进的敏捷性研究	1970	《THE AGILITY OF BUSINESS PROCESS IMPROVEMENT(英文版)》内容为：John Sharp is a professor of Organisational Excellence。thefounder and director of Centre of O...
深入敏捷测试	2017	Janet Gregory和Lisa Crispin此前所著的《敏捷软件测试》开创了敏捷测试学科，而《深入敏捷测试——整个敏捷团队的学习之旅》则收录了她们从那时起至今的所学所获，旨在...
Neusoft/SAPBusinessOne敏捷商务解决方案	-1	
敏捷物流	2011	《敏捷物流-理论、运作与策略》，本书由绪论、物流理论的发展、敏捷物流的运作体系、敏捷物流调运优化技术的实现、某企业的敏捷物流实施、企业敏捷物流的发展对策、总结...
供应链敏捷化研究	2010	《供应链敏捷化研究》根据“敏捷”的定义及供应链敏捷化的特征，对供应链管理的敏捷化策略、构造、信息流管理及牛鞭效应成因与控制、敏捷化绩效评价和快速诊断等问题进...
企业组织敏捷性的实现研究	2011	《企业组织敏捷性的实现研究》内容简介：敏捷性是集适时、速度、目标和利益为一体的综合体，是在不确定竞争环境中企业谋求生存与发展所必须具备的能力。《企业组织敏捷...
敏捷企业集成基础结构建设	-1	
七彩车――少儿敏捷动脑趣题	1998	
敏捷化智能制造系统的重构与控制	2003	《敏捷化智能制造系统的重构与控制》全面阐述了敏捷化智能制造系统（AIMS）的理论和方法。分两个部分：第一部分为敏捷化智能制造系统的重构，提出了敏捷化智能制造系统...
敏捷企业集成基础结构建设	2009	《敏捷企业集成基础结构建设》阐述了敏捷企业集成基础结构中的敏捷企业集成基础结构建模技术、集成基础结构内的决策问题、集成基础结构中的智能通信策略等。《敏捷企业...
敏捷才思:中学生快速作文20法	2001	
敏捷供应链中的客户知识管理	2013	
敏捷销售--重构人与销售的连接	2017	在当前新技术、新业态、新经济的社会背景下，重新剖析并基于云计算、大数据、物联网、移动互联网、移动医疗、人工智能、信息化建设等为代表性的产业，将敏捷方法论导入...
敏捷销售：从菜鸟到顶级销售的精进训练	2016	"时代持续变革，产品和服务日趋同质化。客户反感销售人员滔滔不绝推销的夸夸其谈，他们需要销售人员提供有见地的方案来解决痛点。
快速学习、及时响应、机智灵敏、把握稍..."
敏捷项目管理	2016	移动互联时代，不敏捷，你就OUT了！许秀影编著的《敏捷项目管理（基础知识与应用实务）》从敏捷思维和敏捷项目全生命期出发，详细介绍了敏捷项目管理的基础知识、框架、...
