213	基于UML的需求工程中关键技术及应用研究	赵君	大连海事大学	2007-01-01	硕士	8	348
214	软件工程管理技术在远教服务网项目中的应用	翟名	天津大学	2012-05-01	硕士	1	77
215	基于团队协作的敏捷开发方法改进研究	林挺	中国海洋大学	2009-04-15	硕士	5	364
216	基于敏捷开发方法的民航基建项目管理系统设计与实现	万李	西南交通大学	2010-06-01	硕士	3	219
217	延长油田供用电管理系统中软件开发项目管理研究	高磊	西安石油大学	2013-11-20	硕士	0	5
218	基于SaaS模式的第三方敏捷电子供应链管理研究	刘古权	哈尔滨工业大学	2009-03-01	博士	4	254
219	基于SaaS模式的第三方敏捷电子供应链管理研究	刘古权	哈尔滨工业大学	2008-09-01	博士	3	360
220	基于RUP的轻量级软件过程实践	佀腾飞	北京交通大学	2013-05-06	硕士	0	65
221	敏捷需求分析方法在小型项目中的应用研究	刘炳均	电子科技大学	2007-04-01	硕士	3	268
222	基于Rayleigh模型和Gompertz模型的3G软件开发质量评估	黄云	上海交通大学	2009-12-01	硕士	0	57
223	敏捷开发的软件测试过程概述	周翯	电子技术与软件工程	2014-08-27 11:08	期刊	1	76
224	Rails框架在车务段测评系统中的研究与应用	张润伟	西南交通大学	2009-06-01	硕士	3	38
225	开源软件项目的敏捷管理方法研究	郑亚凡	云南大学	2015-05-01	硕士	0	35
226	AB公司HMI软件开发项目进度管理案例研究	宋晓兵	大连理工大学	2011-09-19	硕士	2	346
227	基于敏捷开发的软件配置管理	解晶晶	电子信息对抗技术	2016-01-15	期刊		63
228	敏捷软件开发模式在计算机语言课程设计中的应用	冯爱祥	中国现代教育装备	2016-04-10	期刊		20
229	浅谈敏捷软件开发	王玉玺	数字技术与应用	2014-05-15	期刊	0	49
230	浅谈敏捷软件工程	王璨	科技信息	2010-12-05	期刊	4	120
231	应用软件开发模式中敏捷和CMMI的探讨	连国华	微型机与应用	2007-06-06	期刊	7	232
232	基于Agent技术的敏捷虚拟企业信息系统框架研究	朱萍	昆明理工大学	2002-04-01	硕士	10	844
233	敏捷开发中的软件测试研究	李逆	软件导刊	2016-04-22 14:02	期刊		89
234	某公司软件持续集成改进的分析设计及实施	李进	北京邮电大学	2012-05-01	硕士	0	187
235	测试驱动开发在NUnit框架下的研究与实践	于志刚	大庆石油学院	2007-03-12	硕士	5	148
236	SCRUM敏捷方法实践及优势分析	曾嵘	北京邮电大学	2009-06-01	硕士	6	512
237	开源软件项目管理研究	林涛	西北农林科技大学	2012-05-01	硕士	1	565
238	基于J2EE架构敏捷开发的实践和研究	戴哲明	上海交通大学	2008-06-10	硕士	2	87
239	基于看板管理方法的敏捷软件开发	汪厚俊	电子技术与软件工程	2016-09-01 14:09	期刊		31
240	基于敏捷方法的科研管理系统的设计与实现	杨璇	计算机技术与发展	2008-12-10	期刊	5	113
241	基于测试驱动开发的电子政务实践	张珂良	东华大学	2009-03-01	硕士	1	75
242	敏捷软件开发应用分析	莫豫峰	电子技术与软件工程	2016-02-18 15:56	期刊		21
243	基于.NET的应用软件敏捷定制	樊纯金	电脑学习	2009-08-01	期刊	0	21
244	敏捷软件开发过程模型研究	张旭	科协论坛(下半月)	2009-09-25	期刊	6	180
245	敏捷方法:软件工程的新方法	刘鹏辉	宝鸡文理学院学报(自然科学版)	2003-12-30	期刊	13	280
246	基于构件的软件设计方法在解决MIS系统开发和维护敏捷性特征中的应用	杨璇	新疆大学学报(自然科学版)	2003-03-21	期刊	1	55
247	可重构敏捷供应链的软件框架分析	胡涛	高技术通讯	2001-12-28	期刊	4	83
248	A公司软件开发项目成本管理研究	张小坚	南京师范大学	2015-05-12	硕士	0	167
249	敏捷开发在软件产品项目中的应用实践	张林	硅谷	2011-04-08	期刊	6	263
250	持续性敏捷演化方法的研究及其在多角色协同系统中的应用	冯剑楠	南京理工大学	2014-01-01	硕士	0	31
251	敏捷软件开发应用分析	孙甲飞	电子世界	2016-06-08	期刊		10
252	敏捷思想:政务软件开发的新思路	杨靖峰	中国信息界	2009-06-10	期刊	1	34
253	Agile和CMMI开发模式的比较与结合	林杨	西南财经大学	2014-03-01	硕士	0	58
254	基于贝叶斯网络软件项目风险管理系统的研究	施乃骏	上海交通大学	2008-01-01	硕士	5	637
255	基于敏捷模式的自动化测试管理系统设计	徐晨	复旦大学	2013-10-16	硕士	0	35
256	基于CMMI的软件开发项目质量管理研究	李国峰	北京邮电大学	2014-03-16	硕士	0	118
257	敏捷开发在中小软件企业的应用研究	汪华	电子科技大学	2011-04-01	硕士	2	127
258	软件互联网行业对敏捷开发及管理模式的应用及分析	黄胜男	电脑与电信	2016-09-10	期刊		7
