42	基于SWEBOK V3的应用型本科院校软件工程专业改革初探	范庆春	淮南师范学院学报	2015-11-15	期刊		20	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=HUNS201506031&DbName=CJFDLAST2016&DbCode=CJFQ
43	计算机软件工程升级的策略性分析	史梁	河南广播电视大学学报	2016-03-10 17:39	期刊		14	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=HNDA201601033&DbName=CJFDLAST2016&DbCode=CJFQ
44	面向软件工程的Linux实验教学的探索与实践	田丽华	电脑知识与技术	2016-02-23 15:11	期刊		12	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201535038&DbName=CJFDLAST2016&DbCode=CJFQ
45	软件工程关联数据的自动构建	张宇臣	计算机应用	2016-03-10	期刊	1	61	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSJY201603034&DbName=CJFDLAST2016&DbCode=CJFQ
46	基于设计模式与软件工程的图像文件管理系统研究	成冬梅	微型电脑应用	2016-02-20	期刊		12	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXDY201602008&DbName=CJFDLAST2016&DbCode=CJFQ
47	电子技术与软件工程		电子技术与软件工程	2016-01-15	期刊		6	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201602225&DbName=CJFDLAST2016&DbCode=CJFQ
48	电子技术与软件工程		电子技术与软件工程	2016-02-15	期刊		25	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201604001&DbName=CJFDLAST2016&DbCode=CJFQ
49	电子技术与软件工程		电子技术与软件工程	2016-02-01	期刊		4	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201603218&DbName=CJFDLAST2016&DbCode=CJFQ
50	基于云计算技术的GIS软件工程模式	王晶义	化工设计通讯	2016-01-28	期刊		13	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WGTX201601043&DbName=CJFDLAST2016&DbCode=CJFQ
51	软件工程专业计算机程序设计教学模式探索	贾朝龙	科教导刊(上旬刊)	2016-02-05	期刊		27	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJDS201602051&DbName=CJFDLAST2016&DbCode=CJFQ
52	地方型高校软件工程专业产学研合作教育模式研究	樊爱宛	电脑知识与技术	2016-03-23 09:59	期刊		49	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201604051&DbName=CJFDLAST2016&DbCode=CJFQ
53	基于软件工程理论的VFP项目教学法研究	刘治国	电脑知识与技术	2016-03-01 13:05	期刊		13	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201601042&DbName=CJFDLAST2016&DbCode=CJFQ
54	电子技术与软件工程		电子技术与软件工程	2016-03-15	期刊		21	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201606211&DbName=CJFDLAST2016&DbCode=CJFQ
55	电子技术与软件工程		电子技术与软件工程	2016-03-01	期刊		5	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201605235&DbName=CJFDLAST2016&DbCode=CJFQ
56	基于翻转课堂与MOOC的嵌入式软件工程实践教学研究	王冠军	实验技术与管理	2016-04-26 10:30	期刊	1	293	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=SYJL201604048&DbName=CJFDLAST2016&DbCode=CJFQ
57	基于MOOC的软件工程课程混合教学模式设计与实施	熊祖涛	高师理科学刊	2016-03-30	期刊		124	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=GLKX201603021&DbName=CJFDLAST2016&DbCode=CJFQ
58	《软件工程》课程校企合作教学模式研究	章荣丽	电子测试	2016-04-05	期刊		11	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WDZC201607031&DbName=CJFDLAST2016&DbCode=CJFQ
59	地方高校软件工程专业校企合作实践教学的探索与实践——以延安大学为例	王文发	高等理科教育	2016-04-20	期刊	2	102	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=GDLK201602020&DbName=CJFDLAST2016&DbCode=CJFQ
60	浅析软件工程技术在网络时代背景下的发展	曾杰	无线互联科技	2016-03-25	期刊	1	26	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXHK201606022&DbName=CJFDLAST2016&DbCode=CJFQ
61	计算机软件工程管理与应用解析	赵世均	电子测试	2016-04-15	期刊		19	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WDZC201608049&DbName=CJFDLAST2016&DbCode=CJFQ
62	电子技术与软件工程		电子技术与软件工程	2016-04-15	期刊		8	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201608211&DbName=CJFDLAST2016&DbCode=CJFQ
63	电子技术与软件工程		电子技术与软件工程	2016-05-01	期刊		8	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201609222&DbName=CJFDLAST2016&DbCode=CJFQ
64	软件工程教学与计算思维能力培养	郭咏梅	软件工程	2016-05-05	期刊		41	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=ZGGC201605019&DbName=CJFDLAST2016&DbCode=CJFQ
65	电子技术与软件工程		电子技术与软件工程	2016-05-15	期刊		3	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201610214&DbName=CJFDLAST2016&DbCode=CJFQ
66	电子技术与软件工程		电子技术与软件工程	2016-06-01	期刊		5	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201611213&DbName=CJFDLAST2016&DbCode=CJFQ
67	电子技术与软件工程		电子技术与软件工程	2016-06-15	期刊		5	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201612221&DbName=CJFDLAST2016&DbCode=CJFQ
68	计算机软件工程项目的自动化管理对策	黄燕	湖北函授大学学报	2016-07-15	期刊		6	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=HBHS201613033&DbName=CJFDLAST2016&DbCode=CJFQ
69	一种软件工程管理模型研究	陶新	计算机测量与控制	2016-07-25	期刊	1	33	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JZCK201607040&DbName=CJFDLAST2016&DbCode=CJFQ
70	软件工程管理的现状和创新策略	赵昆	电子测试	2016-07-15	期刊		15	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WDZC201614049&DbName=CJFDLAST2016&DbCode=CJFQ
